Link_index	Source	Destination	Capacity(EPRps)	Length(km)	Real/Virtual
339	17	183	754850.65	0	virtual
340	183	18	14062.974999999999	35.179	real
341	43	184	754850.65	0	virtual
342	184	44	62439.97	17.711	real
343	2	185	754850.65	0	virtual
344	185	6	4831.155	50.521	real
345	12	186	754850.65	0	virtual
346	186	30	230836.575	7.624	real
347	12	187	754850.65	0	virtual
348	187	30	230836.575	7.624	real
349	20	188	754850.65	0	virtual
350	188	26	69135.36	16.733	real
351	43	189	754850.65	0	virtual
352	189	46	92015.84000000001	14.156	real
353	37	190	754850.65	0	virtual
354	190	38	110755.64	12.622	real
355	47	191	754850.65	0	virtual
356	191	48	43302.59	21.475	real
357	26	192	754850.65	0	virtual
358	192	29	19398.73	30.965	real
359	12	193	754850.65	0	virtual
360	193	30	230836.575	7.624	real
361	13	194	754850.65	0	virtual
362	194	14	54426.06	19.079	real
363	17	195	754850.65	0	virtual
364	195	18	14062.974999999999	35.179	real
365	43	196	754850.65	0	virtual
366	196	44	62439.97	17.711	real
367	37	197	754850.65	0	virtual
368	197	38	110755.64	12.622	real
369	47	198	754850.65	0	virtual
370	198	48	43302.59	21.475	real
371	4	199	754850.65	0	virtual
372	199	9	22860.22	28.899	real
373	16	200	754850.65	0	virtual
374	200	17	45643.869999999995	20.91	real
375	16	201	754850.65	0	virtual
376	201	17	45643.869999999995	20.91	real
377	38	202	754850.65	0	virtual
378	202	39	192376.41	8.704	real
379	47	203	754850.65	0	virtual
380	203	48	43302.59	21.475	real
381	8	204	754850.65	0	virtual
382	204	31	36088.75	23.487	real
383	8	205	754850.65	0	virtual
384	205	32	13127.515000000001	36.108	real
385	4	206	754850.65	0	virtual
386	206	7	12751.724999999999	36.502	real
387	40	207	754850.65	0	virtual
388	207	41	8923.59	41.479	real
389	26	208	754850.65	0	virtual
390	208	27	14245.54	35.006	real
391	25	209	754850.65	0	virtual
392	209	27	29465.46	25.827	real
393	34	210	754850.65	0	virtual
394	210	35	95201.74	13.866	real
395	16	211	754850.65	0	virtual
396	211	17	45643.869999999995	20.91	real
397	1	212	754850.65	0	virtual
398	212	8	126.605	112.263	real
399	38	213	754850.65	0	virtual
400	213	39	192376.41	8.704	real
401	4	214	754850.65	0	virtual
402	214	7	12751.724999999999	36.502	real
403	5	215	754850.65	0	virtual
404	215	47	8650.119999999999	41.923	real
